Date,Open,High,Low,Close,Adj Close,Volume
2019-10-04,34.480000,34.799999,34.000000,34.419998,34.419998,68822
2019-10-07,34.139999,34.599998,33.619999,34.560001,34.560001,209074
2019-10-08,34.439999,35.080002,34.259998,34.700001,34.700001,139202
2019-10-09,34.720001,34.860001,34.439999,34.840000,34.840000,84222
2019-10-10,34.779999,35.880001,34.599998,35.139999,35.139999,168253
2019-10-11,35.000000,35.480000,34.799999,35.240002,35.240002,65610
2019-10-14,35.259998,36.040001,34.459999,35.480000,35.480000,137476
2019-10-15,35.480000,36.779999,35.320000,36.419998,36.419998,218772
2019-10-16,36.439999,36.779999,34.820000,35.000000,35.000000,410395
2019-10-17,35.000000,36.119999,34.520000,35.599998,35.599998,260317
2019-10-18,35.619999,35.639999,34.259998,34.759998,34.759998,300512
2019-10-21,34.599998,36.099998,34.560001,36.040001,36.040001,320484
2019-10-22,36.220001,36.680000,35.240002,35.400002,35.400002,273814
2019-10-23,35.619999,36.060001,35.160000,36.000000,36.000000,205783
2019-10-24,37.520000,38.180000,34.259998,34.540001,34.540001,1082099
2019-10-25,35.040001,38.000000,34.700001,36.040001,36.040001,1251988
2019-10-28,36.119999,36.700001,34.860001,35.759998,35.759998,366877
2019-10-29,35.779999,35.959999,35.400002,35.500000,35.500000,164434
2019-10-30,35.500000,36.160000,35.360001,36.060001,36.060001,265283
2019-10-31,36.959999,37.680000,36.419998,36.540001,36.540001,397920
2019-11-01,37.020000,37.180000,36.500000,36.500000,36.500000,79799
2019-11-04,36.900002,37.160000,35.880001,36.320000,36.320000,467763
2019-11-05,36.340000,37.419998,36.080002,37.299999,37.299999,502470
2019-11-06,37.400002,37.980000,37.060001,37.660000,37.660000,254146
2019-11-07,37.959999,37.959999,36.720001,36.720001,36.720001,344037
2019-11-08,36.599998,37.980000,36.599998,37.660000,37.660000,254517
2019-11-11,37.639999,37.980000,37.320000,37.380001,37.380001,164850
2019-11-12,37.400002,37.820000,37.139999,37.660000,37.660000,162869
2019-11-13,37.500000,39.340000,37.139999,39.119999,39.119999,408666
2019-11-14,39.119999,39.240002,38.299999,38.299999,38.299999,256543
2019-11-15,38.320000,38.860001,37.799999,38.320000,38.320000,187775
2019-11-18,38.320000,39.320000,38.299999,39.080002,39.080002,278435
2019-11-19,39.080002,39.480000,38.340000,38.380001,38.380001,208609
2019-11-20,38.400002,38.400002,37.259998,37.320000,37.320000,183585
2019-11-21,37.320000,37.820000,36.220001,36.520000,36.520000,287837
2019-11-22,36.599998,37.020000,36.180000,36.259998,36.259998,155329
2019-11-25,36.320000,37.139999,36.320000,36.779999,36.779999,210303
2019-11-26,36.459999,37.380001,36.459999,37.060001,37.060001,153892
2019-11-27,37.480000,37.500000,36.279999,36.380001,36.380001,305801
2019-11-28,35.840000,36.860001,35.840000,36.799999,36.799999,135594
2019-11-29,36.799999,37.279999,36.220001,37.000000,37.000000,301766
2019-12-02,36.680000,37.520000,36.680000,37.200001,37.200001,187468
2019-12-03,37.200001,37.200001,36.540001,36.959999,36.959999,226577
2019-12-04,37.439999,38.520000,37.000000,37.840000,37.840000,214717
2019-12-05,37.980000,38.459999,37.500000,38.040001,38.040001,142717
2019-12-06,38.020000,38.119999,37.419998,37.639999,37.639999,200996
2019-12-09,37.619999,37.639999,36.619999,36.799999,36.799999,210480
2019-12-10,36.820000,36.900002,36.000000,36.259998,36.259998,238115
2019-12-11,36.320000,36.439999,35.360001,35.520000,35.520000,410402
2019-12-12,35.540001,35.779999,34.700001,35.099998,35.099998,644099
2019-12-13,35.139999,35.540001,34.060001,34.599998,34.599998,623855
2019-12-16,34.680000,35.880001,34.639999,35.660000,35.660000,778893
2019-12-17,35.619999,37.180000,35.500000,36.840000,36.840000,687843
2019-12-18,36.759998,37.200001,36.200001,37.000000,37.000000,291585
2019-12-19,37.000000,37.240002,36.700001,36.860001,36.860001,188975
2019-12-20,36.919998,38.099998,36.919998,38.060001,38.060001,357081
2019-12-23,38.200001,38.799999,37.840000,38.720001,38.720001,258099
2019-12-27,38.799999,38.840000,37.919998,38.119999,38.119999,245719
2019-12-30,37.939999,38.320000,37.160000,37.560001,37.560001,248609
2020-01-02,37.560001,39.700001,37.560001,39.700001,39.700001,380702
2020-01-03,39.779999,39.779999,39.040001,39.220001,39.220001,429107
2020-01-07,40.200001,41.259998,39.560001,40.119999,40.119999,633241
2020-01-08,40.240002,40.240002,37.900002,37.980000,37.980000,631823
2020-01-09,38.360001,39.220001,37.900002,39.040001,39.040001,352544
2020-01-10,39.040001,39.980000,38.779999,39.820000,39.820000,354828
2020-01-13,39.459999,40.419998,39.200001,40.419998,40.419998,393530
2020-01-14,40.500000,40.500000,38.860001,39.040001,39.040001,307423
2020-01-15,39.200001,39.820000,38.759998,39.759998,39.759998,164088
2020-01-16,39.860001,42.320000,39.860001,42.000000,42.000000,706352
2020-01-17,41.900002,42.560001,41.299999,42.099998,42.099998,523149
2020-01-20,42.000000,43.619999,42.000000,43.279999,43.279999,441594
2020-01-21,43.279999,43.279999,42.160000,42.799999,42.799999,340645
2020-01-22,42.799999,43.759998,42.540001,43.500000,43.500000,303688
2020-01-23,43.000000,43.360001,42.200001,42.599998,42.599998,353140
2020-01-24,43.080002,43.240002,42.360001,42.619999,42.619999,219396
2020-01-27,42.580002,42.580002,41.040001,41.680000,41.680000,295098
2020-01-28,42.000000,42.180000,40.680000,41.180000,41.180000,503905
2020-01-29,41.180000,41.419998,40.580002,40.980000,40.980000,185263
2020-01-30,41.099998,41.099998,39.639999,39.639999,39.639999,756078
2020-01-31,39.500000,39.900002,38.799999,38.880001,38.880001,293264
2020-02-03,38.880001,39.779999,38.599998,39.400002,39.400002,401443
2020-02-04,40.000000,40.080002,38.759998,38.860001,38.860001,353088
2020-02-05,38.860001,39.000000,38.220001,38.560001,38.560001,766729
2020-02-06,38.860001,42.320000,38.299999,41.380001,41.380001,1486886
2020-02-07,41.000000,42.240002,39.459999,42.000000,42.000000,643799
2020-02-10,41.799999,42.400002,40.840000,40.980000,40.980000,655787
2020-02-11,42.540001,43.820000,42.060001,42.799999,42.799999,906603
2020-02-12,42.900002,43.740002,42.000000,43.700001,43.700001,680251
2020-02-13,43.439999,45.840000,43.160000,45.759998,45.759998,799673
